Point ID,X (ECEF),Y (ECEF),Z (ECEF)
AUTO0523,-2956584.484,5075878.995,2476667.611
AUTO0524,-2956584.485,5075878.999,2476667.611
AUTO0525,-2956584.484,5075878.999,2476667.612
AUTO0526,-2956584.489,5075879.002,2476667.609
AUTO0527,-2956584.486,5075879,2476667.612
AUTO0528,-2956584.483,5075878.999,2476667.61
AUTO0529,-2956584.49,5075879.002,2476667.614
AUTO0530,-2956584.49,5075879.003,2476667.616
AUTO0531,-2956584.483,5075878.997,2476667.611
AUTO0532,-2956584.494,5075879.006,2476667.617
AUTO0533,-2956584.489,5075879.001,2476667.614
AUTO0534,-2956584.488,5075878.998,2476667.61
AUTO0535,-2956584.49,5075879.001,2476667.614
