 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |  29 | 55321.083333333  | P P |     1.4699    3.8317   -1.7626 |   |
 |  30 | 55321.083333333  | P P |     0.1403    2.0541   -5.2550 |   |
 |  31 | 55321.083333333  | P P |     2.1504    0.3463   -4.0647 |   |
 |  32 | 55321.083333333  | P P |     3.4812   -3.0124   -3.6037 |   |
 |   1 | 55321.093750000  | P P |  -117.8669  -62.6856   64.0579 |   |
 |   2 | 55321.093750000  | P P |    -2.5694    0.3732   -3.4272 |   |
 |   3 | 55321.093750000  | P P |     4.1885   -0.0824    3.3476 |   |
 |   4 | 55321.093750000  | P P |    -2.9320   -0.1566   -4.3572 |   |
 |   5 | 55321.093750000  | P P |    -3.5086    1.6046    1.4167 |   |
 |   6 | 55321.093750000  | P P |     4.3603    1.8690    3.0942 |   |
 |   7 | 55321.093750000  | P P |     0.3159   -3.7846    2.2658 |   |
 |   8 | 55321.093750000  | P P |    -2.5849    0.2356    4.6267 |   |
 |   9 | 55321.093750000  | P P |    -0.8633    6.2821   -3.0952 |   |
 |  10 | 55321.093750000  | P P |    -4.8272   -0.5810   -1.9010 |   |
 |  11 | 55321.093750000  | P P |     2.1877   -5.7063    0.6152 |   |
 |  12 | 55321.093750000  | P P |    -0.7597    2.0923   -3.4513 |   |
 |  13 | 55321.093750000  | P P |    -1.8090   -5.5422   -1.4572 |   |
 |  14 | 55321.093750000  | P P |     4.2918    3.2105   -2.8485 |   |
 |  15 | 55321.093750000  | P P |    -1.4231    1.9205    2.9790 |   |
 |  16 | 55321.093750000  | P P |     6.3175   -0.3803    0.2728 |   |
 |  17 | 55321.093750000  | P P |    -2.2912   -3.0552   -1.7908 |   |
 |  18 | 55321.093750000  | P P |     2.6026    3.6855    3.8423 |   |
 |  19 | 55321.093750000  | P P |     2.9896   -1.5254    2.8256 |   |
 |  20 | 55321.093750000  | P P |     3.3166   -3.5192   -4.0104 |   |
 |  21 | 55321.093750000  | P P |     0.9746    4.8385    2.9227 |   |
 |  22 | 55321.093750000  | P P |     3.7199    1.1830    2.1573 |   |
 |  23 | 55321.093750000  | P P |    -0.1757   -3.9542   -1.9968 |   |
 |  24 | 55321.093750000  | P P |     2.2333    4.2641    3.1478 |   |
 |  26 | 55321.093750000  | P P |    -0.2637    3.7683    3.1048 |   |
 |  27 | 55321.093750000  | P P |    -2.8884    4.4668    1.1368 |   |
 |  28 | 55321.093750000  | P P |    -4.4671   -2.0875    2.4802 |   |
 |  29 | 55321.093750000  | P P |     1.2353    3.6852   -2.4074 |   |
 |  30 | 55321.093750000  | P P |    -0.5354    2.0435   -5.2825 |   |
 |  31 | 55321.093750000  | P P |     1.7712    1.0374   -4.1367 |   |
 |  32 | 55321.093750000  | P P |     4.0254   -2.8626   -3.2755 |   |
 |   1 | 55321.104166667  | P P |  -110.0582  -62.6420   76.7380 |   |
 |   2 | 55321.104166667  | P P |    -2.4415   -0.0423   -3.6313 |   |
